City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,hatchback,automatic,2,bronze,15,petrol,2019,4.39,Renault-Kwid
Hyderabad,hatchback,manual,1,silver,38,petrol,2018,6.96,Maruti Suzuki-Swift
Hyderabad,suv,manual,1,silver,9,petrol,2021,7.94,Renault-Kiger
Hyderabad,hatchback,manual,1,red,27,petrol,2016,3.48,Renault-Kwid
Hyderabad,suv,manual,1,red,55,petrol,2021,9.27,Hyundai-Venue
Hyderabad,suv,manual,1,black,22,diesel,2022,13.61383,Kia-Sonet
Hyderabad,hatchback,manual,1,white,73,petrol,2015,5.80698,Hyundai-Elite i20
Hyderabad,muv,manual,1,white,64,petrol,2020,6.48,Renault-Triber
Hyderabad,hatchback,manual,1,grey,43,petrol,2015,2.81053,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,white,8,petrol,2022,4.07,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,blue,75,petrol,2017,6.09,Hyundai-Elite i20
Hyderabad,muv,automatic,1,brown,44,petrol,2019,10.72,Maruti Suzuki-XL6
Hyderabad,hatchback,automatic,1,grey,50,petrol,2017,4.75,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,blue,95,diesel,2015,6.12,Hyundai-Elite i20
Hyderabad,crossover,manual,1,silver,41,petrol,2021,6.60316,Ford-Freestyle
Hyderabad,suv,manual,1,white,45,diesel,2021,13.06798,Mahindra-XUV 300
Hyderabad,suv,manual,1,red,56,diesel,2019,10.47674,Mahindra-XUV 300
Hyderabad,sedan,automatic,2,grey,24,petrol,2021,7.40478,Hyundai-Aura
Hyderabad,hatchback,manual,3,silver,52,petrol,2015,2.68,Maruti Suzuki-Alto K10
Hyderabad,suv,manual,1,brown,23,petrol,2021,8.29,Honda-WR-V
Hyderabad,hatchback,manual,1,red,42,petrol,2021,7.74,Tata-Altroz
Hyderabad,suv,manual,2,white,40,petrol,2017,9.68,Hyundai-Creta
Hyderabad,muv,manual,1,white,16,petrol,2022,11.43178,Maruti Suzuki-XL6
Hyderabad,hatchback,manual,1,silver,31,petrol,2021,4.73686,Renault-Kwid
Hyderabad,suv,automatic,1,white,36,diesel,2021,13.3,Mahindra-XUV 300
Hyderabad,hatchback,manual,1,blue,47,petrol,2021,7.55,Hyundai-New i20
Hyderabad,hatchback,automatic,1,red,59,petrol,2017,5.69785,Maruti Suzuki-Ignis
Hyderabad,suv,manual,1,black,39,diesel,2020,12.58,Mahindra-XUV500
Hyderabad,hatchback,manual,1,grey,81,petrol,2018,4.07,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,red,44,petrol,2016,3.28,Renault-Kwid
Hyderabad,sedan,manual,1,silver,67,diesel,2018,10.63,Honda-City
Hyderabad,suv,manual,2,green,63,diesel,2019,10.99,Mahindra-XUV 300
Hyderabad,hatchback,manual,1,golden,32,petrol,2021,7.62756,Tata-Altroz
Hyderabad,suv,manual,1,grey,41,petrol,2022,8.55998,Honda-WR-V
Hyderabad,hatchback,manual,1,white,11,petrol,2022,4.29,Maruti Suzuki-Alto 800
Hyderabad,hatchback,automatic,1,white,14,petrol,2020,4.82,Maruti Suzuki-S-Presso
Hyderabad,suv,manual,1,silver,75,diesel,2017,8.27,Maruti Suzuki-S-Cross
Hyderabad,hatchback,manual,1,silver,32,petrol,2016,3.53,Hyundai-Eon
Hyderabad,suv,manual,1,orange,43,petrol,2019,11.79,Hyundai-Creta
Hyderabad,suv,manual,1,silver,17,petrol,2021,7.61,Renault-Kiger
Hyderabad,hatchback,manual,1,grey,40,petrol,2018,3.57,Maruti Suzuki-Alto 800
Hyderabad,suv,automatic,1,blue,42,petrol,2022,8.27,Renault-Kiger
Hyderabad,hatchback,manual,1,red,65,petrol,2012,3.78,Maruti Suzuki-Swift
Hyderabad,hatchback,manual,1,white,116,diesel,2012,3.34,Maruti Suzuki-Ritz
Hyderabad,hatchback,automatic,1,silver,62,petrol,2015,4.18,Maruti Suzuki-Wagon R 1.0
Hyderabad,suv,automatic,1,blue,80,diesel,2019,11.47,Mahindra-XUV 300
Hyderabad,suv,automatic,1,red,32,diesel,2020,13.62393,Kia-Sonet
Hyderabad,hatchback,manual,1,bronze,34,petrol,2018,4.02806,Renault-Kwid
Hyderabad,suv,manual,1,black,62,diesel,2020,11.59,Mahindra-XUV 300
Hyderabad,suv,automatic,1,red,29,petrol,2022,10.31,Renault-Kiger
Hyderabad,suv,manual,2,grey,38,diesel,2018,11.93469,Jeep-Compass
Hyderabad,hatchback,automatic,1,brown,22,petrol,2016,4.60417,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,white,80,diesel,2016,6.74792,Hyundai-Elite i20
Hyderabad,hatchback,manual,1,white,73,petrol,2015,5.6754,Hyundai-Elite i20
Hyderabad,hatchback,automatic,1,brown,31,petrol,2019,4.68,Renault-Kwid
Hyderabad,hatchback,manual,1,silver,39,petrol,2020,5.58,Maruti Suzuki-Wagon R 1.2
Hyderabad,hatchback,manual,1,grey,40,petrol,2016,4.9153,Hyundai-Grand i10
Hyderabad,hatchback,manual,1,blue,42,petrol,2011,2.94,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,automatic,1,maroon,52,petrol,2015,5.00067,Hyundai-Grand i10
Hyderabad,hatchback,automatic,3,silver,49,petrol,2016,3.99091,Maruti Suzuki-Wagon R 1.0
Hyderabad,suv,manual,1,blue,36,diesel,2019,9.49,Maruti Suzuki-S-Cross
Hyderabad,muv,manual,1,white,14,petrol,2022,5.54657,Maruti Suzuki-Eeco
Hyderabad,suv,manual,1,white,16,petrol,2021,5.72,Renault-Kiger
Hyderabad,suv,manual,1,white,77,diesel,2015,8.59,Hyundai-Creta
Hyderabad,suv,manual,2,grey,30,diesel,2021,20.14594,Tata-Safari
Hyderabad,hatchback,manual,1,white,16,petrol,2020,7.79,Honda-Jazz
