City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Bangalore,sedan,automatic,1,red,81,petrol,2017,6.28436,Maruti Suzuki-Dzire
Chennai,sedan,manual,1,red,33,diesel,2016,7.29,Maruti Suzuki-Ciaz
Hyderabad,suv,manual,1,white,27,petrol,2022,11.54,Maruti Suzuki-Vitara Brezza
Pune,muv,manual,1,grey,79,petrol,2014,6.43868,Maruti Suzuki-Ertiga
Bangalore,suv,automatic,2,orange,67,diesel,2016,7.78,Renault-Duster
Bangalore,sedan,automatic,1,blue,58,diesel,2016,7.49,Skoda-Rapid New
Bangalore,suv,automatic,1,white,10,petrol,2022,8.95,Renault-Kiger
Delhi,muv,manual,1,white,67,petrol+cng,2012,5.29,Maruti Suzuki-Ertiga
Delhi,suv,automatic,1,white,95,diesel,2019,7.08,Tata-Nexon
Hyderabad,hatchback,manual,1,orange,7,petrol,2022,4.84,Maruti Suzuki-S-Presso
Bangalore,hatchback,manual,1,orange,90,diesel,2015,4.68,Hyundai-Grand i10
Delhi,hatchback,manual,2,silver,102,petrol+cng,2014,3.34027,Hyundai-Grand i10
Kolkata,hatchback,manual,1,blue,33,petrol,2021,3.97,Maruti Suzuki-S-Presso
Hyderabad,suv,manual,1,silver,61,diesel,2018,8.96417,Maruti Suzuki-Vitara Brezza
Hyderabad,suv,manual,1,red,3,petrol,2022,13.32093,Maruti Suzuki-Brezza
Bangalore,hatchback,manual,1,red,32,petrol,2019,4.31,Renault-Kwid
Kolkata,muv,manual,1,black,24,diesel,2019,8.1,Mahindra-Marazzo
Hyderabad,hatchback,automatic,1,white,59,petrol,2015,3.95,Maruti Suzuki-Celerio
Bangalore,hatchback,manual,1,white,77,petrol,2012,2.59,Maruti Suzuki-Alto K10
Bangalore,hatchback,automatic,1,white,15,petrol,2022,7.95,Hyundai-Grand i10 Nios
Bangalore,hatchback,manual,3,grey,32,petrol,2018,3.08,Maruti Suzuki-Alto 800
Bangalore,suv,manual,1,red,32,petrol,2020,9.54,Hyundai-Venue
Bangalore,sedan,automatic,1,grey,8,petrol,2022,14.96678,Honda-City
Bangalore,hatchback,automatic,1,blue,10,petrol,2022,6.15,Maruti Suzuki-Celerio
Chennai,suv,automatic,1,silver,46,petrol,2017,9.98,Hyundai-Creta
Pune,sedan,manual,2,blue,61,petrol,2013,3.85,Honda-Amaze
Hyderabad,hatchback,automatic,1,white,17,petrol,2018,4.66003,Hyundai-New Santro 1.1
Hyderabad,suv,manual,1,brown,122,petrol,2018,7.29,Honda-BR-V
Delhi,sedan,manual,1,grey,71,petrol,2012,3.72917,Honda-City
Bangalore,hatchback,manual,1,white,16,petrol,2019,6.39,Tata-Tiago
Pune,suv,manual,1,brown,39,diesel,2016,7.99,Maruti Suzuki-S-Cross
Bangalore,sedan,manual,1,blue,100,petrol,2012,4.18,Maruti Suzuki-Swift Dzire
Hyderabad,sedan,manual,1,grey,83,diesel,2014,4.18,Skoda-Rapid
Bangalore,sedan,manual,1,red,42,petrol,2014,4.87,Hyundai-Xcent
Hyderabad,hatchback,automatic,1,ICE COOL WHITE,58,petrol,2018,4.03,Renault-Kwid
Hyderabad,hatchback,automatic,1,white,19,petrol,2018,7.69802,Hyundai-Elite i20
Bangalore,hatchback,manual,1,white,36,petrol,2014,1.84061,Tata-Nano
Hyderabad,hatchback,manual,1,grey,96,petrol,2013,2.98,Hyundai-i10
Hyderabad,hatchback,automatic,1,grey,61,petrol,2018,4.19,Renault-Kwid
Hyderabad,muv,manual,1,blue,94,diesel,2020,9.69,Mahindra-Marazzo
Bangalore,suv,manual,1,red,80,petrol,2019,12.91,Kia-Seltos
Chennai,hatchback,automatic,1,silver,58,petrol,2017,5.89,Honda-Jazz
Chennai,suv,automatic,1,red,18,petrol,2021,23.42,Mahindra-XUV700
Chennai,hatchback,manual,1,silver,59,petrol,2011,3.39,Hyundai-i20
Delhi,hatchback,manual,2,grey,34,petrol,2018,2.87,Maruti Suzuki-Alto 800
Bangalore,crossover,manual,1,red,29,petrol,2016,3.93,Mahindra-KUV100
Bangalore,sedan,automatic,2,white,39,petrol,2019,6.6,Maruti Suzuki-Dzire
Bangalore,sedan,manual,1,grey,53,petrol,2019,8.12238,Maruti Suzuki-Ciaz
Delhi,hatchback,manual,1,red,30,petrol,2012,3.29,Maruti Suzuki-Swift
Bangalore,suv,manual,1,grey,57,petrol,2015,6.29,Nissan-Terrano
