Id,City,Make,Model,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price
13209441,Delhi,Hyundai,Grand i10,hatchback,manual,1,silver,38K,petrol,2017,512000.0
13403377,Delhi,Hyundai,Creta,suv,manual,1,silver,47K,petrol,2018,1102600.0
13326433,Delhi,Maruti Suzuki,Dzire,sedan,manual,1,blue,66K,petrol,2018,571530.0
13323463,Delhi,Hyundai,Venue N-Line,suv,automatic,1,white,7K,petrol,2022,1330468.0
13360447,Delhi,Tata,Nexon,suv,manual,1,black,17K,petrol,2022,1002930.0
13453520,Delhi,Hyundai,Xcent,sedan,manual,1,silver,67K,petrol,2017,414679.0
13180659,Delhi,Tata,Nexon,suv,manual,1,white,21K,petrol,2023,1117760.0
11221886,Delhi,Toyota,Etios,sedan,manual,3,white,98K,petrol,2011,201000.0
10855286,Ghaziabad,Mahindra,Marazzo,muv,manual,1,silver,76K,diesel,2018,727000.0
10557396,Ghaziabad,Hyundai,Verna,sedan,manual,1,CHAMPAGNE,70K,petrol,2010,247000.0
8847669,Delhi,Renault,Duster,suv,manual,1,silver,54K,petrol+cng,2013,437000.0
12705697,Delhi,Tata,Altroz,hatchback,manual,1,grey,30K,diesel,2021,851818.0
9731980,Delhi,Hyundai,i10,hatchback,manual,1,golden,59K,petrol+cng,2009,169000.0
11790349,Delhi,Hyundai,Verna,sedan,manual,1,silver,99K,petrol,2013,422000.0
12062220,Delhi,Renault,Kwid,hatchback,manual,1,grey,64K,petrol,2017,275000.0
13357001,Delhi,Tata,Altroz,hatchback,manual,1,red,36K,petrol,2020,632000.0
13154274,Delhi,Renault,Triber,muv,manual,1,brown,16K,petrol,2022,669916.0
12955245,Delhi,Renault,Kwid,hatchback,automatic,1,red,14K,petrol,2021,454097.0
13458071,Delhi,Maruti Suzuki,Swift,hatchback,automatic,2,blue,54K,petrol,2018,575501.0
13468380,Delhi,Maruti Suzuki,Grand Vitara,suv,manual,1,red,17K,petrol,2022,1527018.0
13400441,Delhi,Honda,Jazz,hatchback,automatic,1,grey,43K,petrol,2021,876213.0
13337787,Delhi,Nissan,Micra,hatchback,automatic,2,golden,36K,petrol,2017,394979.0
13411175,Delhi,Ford,EcoSport,suv,manual,1,white,45K,petrol,2019,740292.0
12852147,Delhi,Volkswagen,Ameo,sedan,manual,1,grey,27K,petrol,2017,470410.0
11246000,Noida,Maruti Suzuki,Swift Dzire,sedan,manual,2,grey,31K,petrol,2014,379000.0
8751848,Delhi,Toyota,Etios,sedan,manual,1,white,91K,petrol,2011,216000.0
12954682,Delhi,Hyundai,Grand i10,hatchback,automatic,1,white,40K,petrol,2016,446863.0
11388722,Ghaziabad,Maruti Suzuki,Swift Dzire,sedan,manual,1,white,61K,petrol,2016,431000.0
10468746,Delhi,Maruti Suzuki,Ignis,hatchback,manual,1,blue,54K,petrol,2017,509000.0
9402103,Delhi,Maruti Suzuki,Wagon R 1.0,hatchback,manual,1,white,57K,petrol+cng,2010,150000.0
12218056,Delhi,Hyundai,i10,hatchback,manual,2,red,34K,petrol,2014,274488.0
11948880,Ghaziabad,Maruti Suzuki,Baleno,hatchback,manual,1,blue,54K,petrol,2018,533000.0
13240524,Delhi,Kia,Carens,muv,automatic,1,blue,25K,diesel,2022,1715000.0
13297953,Delhi,Renault,Kwid,hatchback,automatic,1,red,18K,petrol,2018,374374.0
13297684,Delhi,Maruti Suzuki,Alto 800,hatchback,manual,1,silver,30K,petrol+cng,2020,395287.0
12374199,Delhi,Tata,Hexa,suv,automatic,1,grey,96K,diesel,2019,1054000.0
13010218,Noida,Hyundai,New i20,hatchback,manual,1,white,31K,diesel,2021,959000.0
12920820,Delhi,Hyundai,Grand i10,hatchback,automatic,1,red,40K,petrol,2017,499000.0
12649424,Delhi,Volkswagen,Tiguan,suv,automatic,1,grey,39K,diesel,2019,2095000.0
12855407,Noida,Hyundai,Grand i10,hatchback,manual,1,silver,24K,petrol,2017,488023.0
12997116,Delhi,Hyundai,Elite i20,hatchback,manual,1,silver,43K,petrol,2018,645000.0
12467543,Delhi,Hyundai,Elite i20,hatchback,manual,1,red,37K,petrol,2015,524000.0
11684265,Noida,Hyundai,Elite i20,hatchback,manual,1,silver,25K,petrol,2017,534000.0
11769348,Ghaziabad,Hyundai,Verna,sedan,manual,1,white,54K,petrol,2012,422000.0
11856561,Ghaziabad,Hyundai,Elite i20,hatchback,manual,1,white,104K,petrol,2015,423000.0
12218838,Ghaziabad,Maruti Suzuki,Ertiga,muv,manual,2,silver,88K,petrol,2013,432000.0
11840195,Delhi,Ford,EcoSport,suv,manual,1,grey,30K,petrol,2015,602000.0
12722504,Noida,Honda,Brio,hatchback,manual,1,silver,31K,petrol,2012,259000.0
13000283,Delhi,Hyundai,Creta,suv,manual,1,silver,73K,petrol,2018,928000.0
12962848,Delhi,Kia,Seltos,suv,manual,1,grey,20K,petrol,2021,1214039.0
12882258,Delhi,Maruti Suzuki,New Ertiga,muv,manual,1,grey,13K,petrol,2022,1050303.0
12761513,Delhi,Maruti Suzuki,Swift,hatchback,manual,1,grey,25K,petrol,2022,546000.0
12682887,Delhi,Toyota,Innova Crysta,muv,manual,1,grey,8K,petrol,2022,2072000.0
12543596,Delhi,Hyundai,Verna,sedan,manual,1,grey,40K,petrol,2017,774140.0
12666100,Noida,Maruti Suzuki,Baleno,hatchback,manual,1,blue,36K,petrol,2017,531692.0
13131913,Noida,Maruti Suzuki,Baleno,hatchback,automatic,2,blue,23K,petrol,2018,598000.0
12777775,Delhi,Mahindra,XUV700,suv,automatic,1,silver,30K,petrol,2021,2039000.0
12426928,Ghaziabad,Maruti Suzuki,Wagon R 1.0,hatchback,automatic,1,grey,67K,petrol,2017,409348.0
12747931,Delhi,Hyundai,Grand i10,hatchback,manual,1,silver,59K,petrol,2015,384492.0
12814200,Noida,Renault,Kwid,hatchback,automatic,1,bronze,19K,petrol,2017,299671.0
12952298,Delhi,Hyundai,Verna,sedan,manual,2,white,53K,petrol+cng,2013,428000.0
13252541,Delhi,Hyundai,Grand i10,hatchback,automatic,1,silver,69K,petrol,2016,472000.0
11448134,Delhi,Hyundai,Grand i10,hatchback,manual,1,white,62K,petrol,2014,365000.0
12901640,Delhi,Tata,Tiago NRG,hatchback,manual,1,white,21K,petrol,2019,497000.0
13087391,Delhi,Tata,Tiago,hatchback,manual,1,white,40K,petrol,2017,407070.0
9510774,Delhi,Hyundai,i10,hatchback,manual,2,grey,64K,petrol+cng,2009,99000.0
9342363,Ghaziabad,Skoda,Rapid,sedan,automatic,3,white,54K,petrol,2012,341000.0
12746044,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,silver,68K,petrol,2016,484100.0
